Subject Code,Section,Course Title,Units,Time,Room,Instructor,Max No,Lang,Level,Free Slots,Remarks,S,P
CHEM 299.7,SUB-B,FINAL PAPER SUBMISSION,0,"TBA
(~)",TBA,"TBA, -",25,ENG,G,25,-,N,N
CHEM 396,COMP,COMPREHENSIVE EXAMINATIONS,0,"TBA
(~)",TBA,"TBA, -",25,ENG,G,25,-,N,N
CHEM 399.1,THES/DISS,DISSERTATION I,0,"TBA
(~)",TBA,"TBA, -",25,ENG,G,25,-,N,N
CHEM 399.11,YYY,DISSERTATION PROPOSAL,3,"TBA
(ONSITE)",TBA,"TBA, -",25,ENG,G,25,-,N,N
CHEM 399.12,YYY,ORIGINAL RESEARCH PROPOSAL,0,"TBA
(ONSITE)",TBA,"TBA, -",25,ENG,G,25,-,N,N
CHEM 399.2,THES/DISS,DISSERTATION II,0,"TBA
(~)",TBA,"TBA, -",25,ENG,G,23,-,N,N
CHEM 399.21,YYY,DISSERTATION SEMINAR,1,"TBA
(ONSITE)",TBA,"TBA, -",25,ENG,G,25,-,N,N
CHEM 399.4,ODEF,ORAL DEFENSE,0,"TBA
(~)",TBA,"TBA, -",25,ENG,G,25,-,N,N
CHEM 399.5,RESID,RESIDENCY,0,"TBA
(~)",TBA,"TBA, -",25,ENG,G,25,-,N,N
CHEM 399.6,SUB-A,FINAL PAPER SUBMISSION,0,"TBA
(~)",TBA,"TBA, -",25,ENG,G,24,-,N,N
CHEM 399.7,SUB-B,FINAL PAPER SUBMISSION,0,"TBA
(~)",TBA,"TBA, -",25,ENG,G,25,-,N,N
CHEM 81.51,C,"INDUSTRIAL CHEMICAL REACTIONS AND PROCESSES, LECTURE",3,"D 1100-1230
(ONSITE)",C-114,"LAPINIG, DANIELLE B.",18,ENG,U,0,-,N,N
CHEM 81.52,KL,"INDUSTRIAL CHEMICAL REACTIONS AND PROCESSES, LABORATORY",2,"M-W 1300-1700
(ONSITE)",SEC-C207A,"LAPINIG, DANIELLE B.",18,ENG,U,1,-,N,N
MATSE 106.2,IJ,MATERIALS AND TESTING LABORATORY II,3,"M-W-F 0800-1200
(ONSITE)",C-207,"DELA CRUZ, CATHERINE JOY M., DIAZ, JOSE MARIO A., GUNGON, Keith Marcx",17,ENG,U,2,ALL SLOTS FOR 5TH YEAR BS CH-MSE MAJORS. ALL SLOTS FOR 5TH YEAR BS APS-MSE MAJORS.,N,N
MATSE 106.2,KL,MATERIALS AND TESTING LABORATORY II,3,"M-W-F 1300-1700
(ONSITE)",C-207,"DELA CRUZ, CATHERINE JOY M., DIAZ, JOSE MARIO A., GUNGON, Keith Marcx",17,ENG,U,3,ALL SLOTS FOR 5TH YEAR BS CH-MSE MAJORS. ALL SLOTS FOR 5TH YEAR BS APS-MSE MAJORS.,N,N
MATSE 180.1,B,SPECIAL TOPICS IN POLYMERS: POLYMER PROCESSING AND TECHNOLOGY,3,"D 0930-1100
(ONSITE)",C-114,"HULOG, Alexandra Melise, PUA, Doreen",17,ENG,U,3,ALL SLOTS FOR 5TH YEAR BS CH-MSE MAJORS. ALL SLOTS FOR 5TH YEAR BS APS-MSE MAJORS.,N,N
MATSE 180.1,E,SPECIAL TOPICS IN POLYMERS: POLYMER PROCESSING AND TECHNOLOGY,3,"D 1400-1530
(ONSITE)",C-114,"HULOG, Alexandra Melise, PUA, Doreen",17,ENG,U,3,-,N,N
MATSE 199.1,G1,MATERIALS RESEARCH PROJECT I,3,"D 1700-1830
(~)",TBA,"TURNER, ADAM H.",12,ENG,U,8,-,N,N
MATSE 199.1,G10,MATERIALS RESEARCH PROJECT I,3,"D 1700-1830
(~)",C-114,"MAQUILING, JOEL T.",12,ENG,U,8,-,N,N
MATSE 199.1,G2,MATERIALS RESEARCH PROJECT I,3,"D 1700-1830
(~)",TBA,"CHAKRABORTY, SOMA",12,ENG,U,11,-,N,N
MATSE 199.1,G3,MATERIALS RESEARCH PROJECT I,3,"D 1700-1830
(~)",TBA,"ENRIQUEZ, ERWIN P.",12,ENG,U,3,-,N,N
MATSE 199.1,G4,MATERIALS RESEARCH PROJECT I,3,"D 1700-1830
(~)",TBA,"MACARAIG, LEA CRISTINA D.",12,ENG,U,11,-,N,N
MATSE 199.1,G5,MATERIALS RESEARCH PROJECT I,3,"D 1700-1830
(~)",TBA,"FABICON, RONALDO M.",12,ENG,U,10,-,S,N
MATSE 199.1,G6,MATERIALS RESEARCH PROJECT I,3,"D 1700-1830
(~)",TBA,"DIMZON, IAN KEN D.",12,ENG,U,11,-,N,N
MATSE 199.1,G7,MATERIALS RESEARCH PROJECT I,3,"D 1700-1830
(~)",TBA,"DAYRIT, FABIAN M.",12,ENG,U,11,-,N,N
MATSE 199.1,G8,MATERIALS RESEARCH PROJECT I,3,"D 1700-1830
(~)",TBA,"DELA CRUZ, CATHERINE JOY M.",12,ENG,U,5,-,N,N
MATSE 199.1,G9,MATERIALS RESEARCH PROJECT I,3,"D 1700-1830
(~)",C-109,"DIAZ, JOSE MARIO A., SAN ESTEBAN, ANNA CARISSA M.",12,ENG,U,6,-,N,N
CSP 11,A1,CHINESE MANDARIN AND CULTURE 1,3,"D 0800-0930
(ONSITE)",CTC 204,"ONG, JUBILEE G.",16,~,U,0,-,N,N
CSP 11,B1,CHINESE MANDARIN AND CULTURE 1,3,"D 0930-1100
(ONSITE)",CTC 204,"ONG, JUBILEE G.",16,~,U,-4,-,N,N
CSP 11,C,CHINESE MANDARIN AND CULTURE 1,3,"D 1100-1230
(ONSITE)",LH 206,"BATA, SIDNEY CHRISTOPHER T.",16,~,U,0,-,N,N
CSP 11,D,CHINESE MANDARIN AND CULTURE 1,3,"D 1230-1400
(ONSITE)",LH 206,"BATA, SIDNEY CHRISTOPHER T.",16,~,U,1,-,N,N
CSP 11,D1,CHINESE MANDARIN AND CULTURE 1,3,"D 1230-1400
(ONSITE)",CTC 204,"CHIANG, Jarred Irwin",16,~,U,12,-,S,N
CSP 11,E,CHINESE MANDARIN AND CULTURE 1,3,"D 1400-1530
(ONSITE)",CTC 204,"CHIANG, Jarred Irwin",16,~,U,11,-,S,N
CSP 32,D,GOVERNMENT AND POLITICS OF CHINA,3,"D 1230-1400
(ONSITE)",CTC 105,"DIZON, ERWIN GUILE M.",30,ENG,U,27,-,N,N
CSP 33,C,CHINA'S FOREIGN POLICY,3,"D 1100-1230
(ONSITE)",CTC 204,"DIZON, ERWIN GUILE M.",30,ENG,U,25,-,N,N
CSP 35,A,INTRODUCTION TO CHINESE SOCIETY,3,"D 0800-0930
(ONSITE)",LH 200,"BATA, SIDNEY CHRISTOPHER T.",10,ENG,U,5,-,N,N
CSP 61i,B,SCIENCE AND TECHNOLOGY IN CHINA,3,"D 0930-1100
(ONSITE)",LH 206,"SEE, MARY KIMBERLIE C.",30,ENG,U,-2,-,N,N
CSP 211,Q1Q2,ASPECTS OF CHINA,3,"SAT 0900-1800
(FULLY ONLINE)",TBA,"TBA, -",12,~,G,9,-,N,N
COMM 61,O1,ELEMENTS OF SCREEN ART,3,"T 1230-1530; TH 1230-1700
(ONSITE)",SS CSR; SS CSR,"TY, ANDREW ALBERT J.",15,ENG,U,-1,-,N,N
COMM 191.03,N1,FILM SEMINAR: ASIAN CINEMA,3,"T 0800-1100; TH 0800-1230
(ONSITE)",SS CSR; SS CSR,"QUE, GILBERT JACOB S.",15,ENG,U,14,-,N,N
COMM 193,I,QUANTITATIVE METHODS IN COMMUNICATION RESEARCH,3,"M-W-F 0800-1030
(ONSITE)",SS CSR,"ROMBAOA, Jasmine Sabrina",15,ENG,U,7,"*PRE-REQ: COMM 20, COMM 21",N,N
COMM 197,A,PRACTICUM,3,"D 0800-0930
(ONSITE)",SS CONF 5,"VASWANI, SERENA M.",15,ENG,U,0,"ALL SLOTS FOR 4TH YEAR AB COM MAJORS.*PRE-REQ: COMM 190, COMM 193, COMM 194",N,N
COMM 197,B,PRACTICUM,3,"D 0930-1100
(ONSITE)",SS CONF 5,"COX, CHRISTINE ANNE R.",15,ENG,U,0,"ALL SLOTS FOR 4TH YEAR AB COM MAJORS.*PRE-REQ: COMM 190, COMM 193, COMM 194",N,N
COMM 197,C,PRACTICUM,3,"D 1100-1230
(ONSITE)",SS CONF 5,"COX, CHRISTINE ANNE R.",15,ENG,U,0,"ALL SLOTS FOR 4TH YEAR AB COM MAJORS.*PRE-REQ: COMM 190, COMM 193, COMM 194",N,N
COMM 197,D,PRACTICUM,3,"D 1230-1400
(ONSITE)",SS CONF 5,"PARIS, Janella Grace",15,ENG,U,0,"ALL SLOTS FOR 4TH YEAR AB COM MAJORS.*PRE-REQ: COMM 190, COMM 193, COMM 194",N,N
COMM 197,I,PRACTICUM,3,"M-W-F 0800-1030
(ONSITE)",SS CONF 6,"PARIS, Janella Grace",15,ENG,U,4,"ALL SLOTS FOR 4TH YEAR AB COM MAJORS.*PRE-REQ: COMM 190, COMM 193, COMM 194",N,N
COMM 197,N1,PRACTICUM,3,"T 0800-1100; TH 0800-1230
(ONSITE)",SS CONF 6; SS CONF 6,"TY, ANDREW ALBERT J.",15,ENG,U,0,"ALL SLOTS FOR 4TH YEAR AB COM MAJORS.*PRE-REQ: COMM 190, COMM 193, COMM 194",N,N
COMM 197,O2,PRACTICUM,3,"T 1230-1700; TH 1230-1530
(ONSITE)",SS CONF 6; SS CONF 6,"QUE, GILBERT JACOB S.",15,ENG,U,0,"ALL SLOTS FOR 4TH YEAR AB COM MAJORS.*PRE-REQ: COMM 190, COMM 193, COMM 194",N,N
COMM 296,COMP,COMPREHENSIVE EXAMINATIONS,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
COMM 298,CAPS,INDEPENDENT STUDY,3,"TBA
(~)",TBA,"TBA, -",50,ENG,G,46,-,N,N
COMM 299.1,THES/DISS,THESIS I,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,49,-,N,N
COMM 299.2,THES/DISS,THESIS II,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,49,-,N,N
COMM 299.4,ODEF,ORAL DEFENSE,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
COMM 299.5,RESID,RESIDENCY,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
COMM 299.6,SUB-A,FINAL PAPER SUBMISSION,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
COMM 299.7,SUB-B,FINAL PAPER SUBMISSION,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
JRN 296,COMP,COMPREHENSIVE EXAMINATIONS,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
JRN 298.1,CAPS,MASTER'S PROJECT 1,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
JRN 298.2,CAPS,MASTER'S PROJECT 2,6,"TBA
(~)",TBA,"TBA, -",50,ENG,G,46,-,N,N
CPA 296,COMP,COMPREHENSIVE EXAMINATIONS,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,43,-,N,N
CPA 298.1,CAPS,PRACTICUM IN BASIC EDUCATION TEACHING,6,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
CPA 298.2,CAPS,PROJECT DEVELOPMENT AND PRESENTATION,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
CPA 298.3,CAPS,PROJECT DEVELOPMENT AND PRESENTATION,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
CPA 298,CAPS,INTEGRATING PAPER,6,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
CPA 299.1,THES/DISS,THESIS I,0,"TBA
(~)",TBA,"GO, SJ, JOHNNY C.",5,ENG,G,4,-,N,N
CPA 299.1,THES/DISS1,THESIS I,0,"TBA
(~)",TBA,"MARTIN, MARIA ISABEL P.",5,ENG,G,4,-,N,N
CPA 299.2,THES/DISS,THESIS II,0,"TBA
(~)",TBA,"ALVAREZ, SJ, FR. FRANCIS",5,ENG,G,4,-,N,N
CPA 299.2,THES/DISS1,THESIS II,0,"TBA
(~)",TBA,"VELOSO, MARITES R.",5,ENG,G,4,-,N,N
CPA 299.4,ODEF,ORAL DEFENSE,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
CPA 299.5,RESID,RESIDENCY,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
CPA 299.6,SUB-A,FINAL PAPER SUBMISSION,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
CPA 299.7,SUB-B,FINAL PAPER SUBMISSION,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
CPA 396,COMP,COMPREHENSIVE EXAM,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
CPA 399.1,THES/DISS,DISSERTATION 1,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
CPA 399.2,THES/DISS,DISSERTATION 2,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
EDUC 101i,I,HISTORICAL AND PHILOSOPHICAL FOUNDATIONS OF EDUCATION,3,"M-W-F 0800-1030
(ONSITE)",SS-282,"ALVAREZ, SJ, FR. FRANCIS",27,~,U,-4,-,N,N
EDUC 132i,J,EDUCATIONAL PSYCHOLOGY,3,"M-W-F 1030-1300
(ONSITE)",SS-282,"CHING, JERALDINE K.",27,~,U,-6,-,N,N
EDUC 263.3,P1,PERSONALITY AND COUNSELING THEORIES,3,"T 1700-2000; TH 1700-2100
(ONSITE)",TBA; TBA,"VELOSO, MARITES R.",20,~,G,10,-,N,N
EDUC 292,P1,METHODS AND MATERIALS OF RESEARCH,3,"T 1700-2000; TH 1700-2130
(ONSITE)",TBA; TBA,"DELOCADO, EMMANUEL D.",25,~,G,14,-,N,N
ELM 296,COMP,COMPREHENSIVE EXAMINATIONS,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,45,-,N,N
ELM 298.1,CAPS,PRACTICUM IN BASIC EDUCATION TEACHING,6,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
ELM 298,CAPS,INTEGRATING PAPER,6,"TBA
(~)",TBA,"ALVAREZ, SJ, FR. FRANCIS",5,ENG,G,4,-,N,N
ELM 298,CAPS1,INTEGRATING PAPER,6,"TBA
(~)",TBA,"MARTIN, MARIA ISABEL P.",5,ENG,G,4,-,N,N
ELM 299.1,THES/DISS,THESIS I,0,"TBA
(~)",TBA,"ALEJO, MA RESURRECCION P.",5,ENG,G,5,-,N,N
ELM 299.1,THES/DISS1,THESIS I,0,"TBA
(~)",TBA,"MARTIN, MARIA ISABEL P.",5,ENG,G,4,-,N,N
ELM 299.1,THES/DISS2,THESIS I,0,"TBA
(~)",TBA,"NGO, GALVIN RADLEY L.",5,ENG,G,4,-,N,N
ELM 299.1,THES/DISS3,THESIS I,0,"TBA
(~)",TBA,"NICDAO, JAIME JOSE G.",5,ENG,G,5,-,N,N
ELM 299.2,THES/DISS,THESIS II,0,"TBA
(~)",TBA,"ALVAREZ, SJ, FR. FRANCIS",5,ENG,G,5,-,N,N
ELM 299.2,THES/DISS1,THESIS II,0,"TBA
(~)",TBA,"ATIENZA, MA. RITA J.",5,ENG,G,5,-,N,N
ELM 299.2,THES/DISS2,THESIS II,0,"TBA
(~)",TBA,"GO, SJ, JOHNNY C.",5,ENG,G,5,-,N,N
ELM 299.2,THES/DISS3,THESIS II,0,"TBA
(~)",TBA,"NICDAO, JAIME JOSE G.",5,ENG,G,5,-,N,N
ELM 299.2,THES/DISS4,THESIS II,0,"TBA
(~)",TBA,"ORACION, CARMELA C.",5,ENG,G,3,-,N,N
ELM 299.4,ODEF,ORAL DEFENSE,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,49,-,N,N
ELM 299.5,RESID,RESIDENCY,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
ELM 299.6,SUB-A,FINAL PAPER SUBMISSION,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
ELM 299.7,SUB-B,FINAL PAPER SUBMISSION,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
ELM 396,COMP,COMPREHENSIVE EXAM,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
ELM 399.1,THES/DISS,DISSERTATION 1,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
ELM 399.2,THES/DISS,DISSERTATION 2,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
DEV 181.4i,D,SPECIAL TOPICS IN HUMANITARIAN ACTION: HUMAN RIGHTS AND DEVELOPMENT,3,"D 1230-1400
(ONSITE)",SOM 204,"LIBREA, ROSETTE GILDA C.",30,ENG,U,2,ALL SLOTS FOR DEVELOPMENT MANAGEMENT MINORS/SPECIALIZATION. ALL SLOTS FOR HEALTH AND DEVELOPMENT MINORS. ALL SLOTS FOR HUMANITARIAN ACTION MINORS. ALL SLOTS FOR DEVELOPMENT AND THE LAW MINORS/SPECIALIZATION.,N,N
DEV 183.19,Z1,SPECIAL TOPICS IN DEVELOPMENT MANAGEMENT: IMMERSION/WORK CAMP,3,"TBA
(ONSITE)",CTC 408,"ABENIR, Mark Anthony",30,ENG,U,23,"*ATENEO DEVELOPMENT FIELD SCHOOL (ADFS) 2023 from June 19-July 14, 2023",N,N
DEV 183.36,AF,SPECIAL TOPICS IN DEVELOPMENT MANAGEMENT: COMMUNITY ORGANIZATION,3,"D 0800-1700
(ONSITE)",CTC 408,"ABENIR, Mark Anthony",30,E / F,U,23,"*ATENEO DEVELOPMENT FIELD SCHOOL (ADFS) 2023 from June 19-July 14, 2023",N,N
DEV 189.83i,C,SPECIAL TOPICS IN CONTEMPORARY DEVELOPMENT ISSUES: SURVEY OF PUBLIC HEALTH INTERVENTIONS,3,"D 1100-1230
(ONSITE)",CTC 202,"MEDINA, Erron",30,ENG,U,-1,*ALL SLOTS FOR HEALTH & DEVELOPMENT MINOR. ALL SLOTS FOR URBAN & REGIONAL DEVELOPMENT MINOR. ALL SLOTS FOR DEVELOPMENT & THE LAW MINOR.,N,N
DEV 197.1,Z1,PRACTICUM IN SOCIAL DEVELOPMENT,3,"TBA
(ONSITE)",DS DEPT,"GO, KEVIN CHRISTOPHER L.",25,~,U,0,-,N,N
DEV 197.1,Z1A,PRACTICUM IN SOCIAL DEVELOPMENT,3,"TBA
(ONSITE)",DS DEPT,"GO, KEVIN CHRISTOPHER L.",25,~,U,7,-,N,N
DEV 198.2,Z2,FIELD SPECIALIZATION,3,"TUTORIAL 0000-0000
(ONSITE)",DS DEPT,"RAPISURA, MARIEL VINCENT A.",1,ENG,U,0,-,N,N
DEV 198.2,Z2A,FIELD SPECIALIZATION,3,"TUTORIAL 0000-0000
(ONSITE)",DS DEPT,"BALGOS, BENIGNO C.",1,ENG,U,0,-,N,N
ECON 110,A,PRINCIPLES OF ECONOMICS,3,"D 0800-0930
(ONSITE)",SEC-A117A,"ALVAREZ, Julian Thomas",30,ENG,U,0,-,N,N
ECON 110,A1,PRINCIPLES OF ECONOMICS,3,"D 0800-0930
(ONSITE)",SEC-A202A,"CHUA, ROBERT LANCE C.",30,ENG,U,-2,-,N,N
ECON 110,B,PRINCIPLES OF ECONOMICS,3,"D 0930-1100
(ONSITE)",F-116,"ALVAREZ, Julian Thomas",30,ENG,U,0,-,N,N
ECON 110,B1,PRINCIPLES OF ECONOMICS,3,"D 0930-1100
(ONSITE)",SEC-A205A,"CHUA, ROBERT LANCE C.",30,ENG,U,-2,-,N,N
ECON 110,B2,PRINCIPLES OF ECONOMICS,3,"D 0930-1100
(ONSITE)",CTC 206,"PEREZ, MARILOU A.",30,ENG,U,0,-,N,N
ECON 110,C,PRINCIPLES OF ECONOMICS,3,"D 1100-1230
(ONSITE)",CTC 206,"PEREZ, MARILOU A.",30,ENG,U,-2,-,N,N
ECON 110,C1,PRINCIPLES OF ECONOMICS,3,"D 1100-1230
(ONSITE)",CTC 106,"SIMON-KING, PATRICK GERARD C.",30,ENG,U,-5,-,N,N
ECON 110,D,PRINCIPLES OF ECONOMICS,3,"D 1230-1400
(ONSITE)",CTC 106,"SIMON-KING, PATRICK GERARD C.",30,ENG,U,-1,-,N,N
ECON 110,D1,PRINCIPLES OF ECONOMICS,3,"D 1230-1400
(ONSITE)",SOM 111,"BEJA, EDSEL, JR. L.",66,ENG,U,0,-,N,N
ECON 110,E,PRINCIPLES OF ECONOMICS,3,"D 1400-1530
(ONSITE)",CTC 206,"SAPLALA, DINO CARLO A.",30,ENG,U,3,-,N,N
ECON 110,E1,PRINCIPLES OF ECONOMICS,3,"D 1400-1530
(ONSITE)",SOM 111,"BEJA, EDSEL, JR. L.",77,ENG,U,18,-,N,N
ECON 110,F,PRINCIPLES OF ECONOMICS,3,"D 1530-1700
(ONSITE)",CTC 206,"SAPLALA, DINO CARLO A.",30,ENG,U,0,-,N,N
ECON 111,A,INTERMEDIATE MICROECONOMIC THEORY,3,"D 0800-0930
(ONSITE)",CTC 206,"LONTOC, Genesis Kelly",20,ENG,U,9,-,S,N
ECON 185.65i,L,ECONOMICS OF LABOR AND EMPLOYMENT LAW,3,"M-W-F 1530-1800
(ONSITE)",CTC 302,"GAMBOA, Jayvy",30,ENG,U,0,-,N,N
ECON 185.65i,M,ECONOMICS OF LABOR AND EMPLOYMENT LAW,3,"M-W-F 1800-2030
(ONSITE)",CTC 106,"GAMBOA, Jayvy",30,ENG,U,0,-,N,N
ECON 185.69i,F,"LAW, ECONOMICS, AND PUBLIC POLICY",3,"D 1530-1700
(ONSITE)",CTC 106,"CRUZ, JAN FREDRICK P.",30,ENG,U,-1,-,N,N
ECON 185.69i,H,"LAW, ECONOMICS, AND PUBLIC POLICY",3,"D 1830-2000
(ONSITE)",CTC 206,"CRUZ, JAN FREDRICK P.",30,ENG,U,3,-,N,N
ECON 197,Q1,PRACTICUM,3,"SAT 0800-1100; SAT 1230-1700
(ONSITE)",CTC 202; CTC 202,"LONTOC, Genesis Kelly",28,ENG,U,0,-,N,N
ECON 197,Q1A,PRACTICUM,3,"SAT 0800-1100; SAT 1230-1700
(ONSITE)",CTC 203; CTC 203,"DUCANES, Geoffrey",28,ENG,U,0,-,N,N
ECON 197,Q1B,PRACTICUM,3,"SAT 0800-1100; SAT 1230-1700
(ONSITE)",CTC 204; CTC 204,"ANG, ALVIN P.",28,ENG,U,0,-,N,N
ECON 197,Q1C,PRACTICUM,3,"SAT 0800-1100; SAT 1230-1700
(ONSITE)",CTC 205; CTC 205,"BARRER, Reginald Rex",28,ENG,U,0,-,N,N
ECON 197,Q1D,PRACTICUM,3,"SAT 0800-1100; SAT 1230-1700
(ONSITE)",CTC 206; CTC 206,"MAYO, Charlon",28,ENG,U,8,-,N,N
ECON 296,COMP,COMPREHENSIVE EXAMINATION,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,45,-,N,N
ECON 299.1,THES/DISS,MASTER'S THESIS,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
ECON 299.2,THES/DISS,MASTER'S THESIS,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
ECON 299.4,ODEF,ORAL DEFENSE,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
ECON 299.5,RESID,RESIDENCY,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
ECON 299.6,SUB-A,FINAL PAPER SUBMISSION,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
ECON 299.7,SUB-B,FINAL PAPER SUBMISSION,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
ECON 396,COMP,COMPREHENSIVE EXAMINATION,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,47,-,N,N
ECON 399.1,THES/DISS,DISSERTATION I,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
ECON 399.1,THES/DISS1,DISSERTATION I,0,"TBA
(~)",TBA,"PEÑA-REYES, SER PERCIVAL K.",1,ENG,G,0,-,N,N
ECON 399.1,THES/DISS2,DISSERTATION I,0,"TBA
(~)",TBA,"DUCANES, Geoffrey",1,ENG,G,0,-,N,N
ECON 399.19,PDEF,DISSERTATION PROPOSAL DEFENSE,0,"TBA
(~)",TBA,"TBA, -",3,ENG,G,3,-,N,N
ECON 399.2,THES/DISS,DISSERTATION II,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,49,-,N,N
ECON 399.2,THES/DISS1,DISSERTATION II,0,"TBA
(~)",TBA,"DUMLAO, LUIS F.",1,ENG,G,0,-,N,N
ECON 399.2,THES/DISS2,DISSERTATION II,0,"TBA
(~)",TBA,"BEJA, EDSEL, JR. L.",1,ENG,G,0,-,N,N
ECON 399.4,ODEF,ORAL DEFENSE,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
ECON 399.5,RESID,RESIDENCY,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
ECON 399.6,SUB-A,FINAL PAPER SUBMISSION,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
ECON 399.7,SUB-B,FINAL PAPER SUBMISSION,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
EDCSP 296,COMP,COMPREHENSIVE EXAMINATIONS,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
ENGG 21,B,ENGINEERING DATA ANALYSIS,3,"D 0930-1100
(ONSITE)",CTC 219,"AGUSTIN, LUISITO L.",18,ENG,U,1,-,N,N
ENGG 21,C,ENGINEERING DATA ANALYSIS,3,"D 1100-1230
(ONSITE)",CTC 219,"AGUSTIN, LUISITO L.",20,ENG,U,0,-,N,N
ENGG 121.01,A,"LOGIC CIRCUITS AND SWITCHING THEORY, LECTURE",3,"D 0800-0930
(ONSITE)",F-323,"RECTO, King Harold",12,ENG,U,0,-,N,N
ENGG 121.02,L,"LOGIC CIRCUITS AND SWITCHING THEORY, LABORATORY",1,"M-W 1530-1800
(ONSITE)",F-323,"OPPUS, CARLOS M.",12,ENG,U,0,-,N,N
ENGG 122.01,B,"MICROPROCESSORS AND MICROCONTROLLERS, LECTURE",3,"D 0930-1100
(ONSITE)",F-323,"RECTO, King Harold",20,ENG,U,10,-,N,N
ENGG 122.02,K,"MICROPROCESSORS AND MICROCONTROLLERS, LABORATORY",1,"M-W 1300-1530
(ONSITE)",F-323,"OPPUS, CARLOS M.",12,ENG,U,2,-,N,N
ENGG 197,Q1,ON-THE-JOB TRAINING,3,"SAT 0800-1100; SAT 1230-1700
(ONSITE)",CTC 403; CTC 403,"MACABEBE, EREES QUEEN B., OPPUS, CARLOS M.",30,ENG,U,14,-,N,N
ENGG 291.3,Z2,GRADUATE COLLOQUIUM III,1,"TBA
(ONSITE)",CTC 314A,"MACABEBE, EREES QUEEN B.",1,ENG,G,0,-,N,N
ENGG 299.1,THES/DISS,THESIS I,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
ENGG 299.2,THES/DISS,THESIS II,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,49,-,N,N
ENGG 299.4,ODEF,ORAL DEFENSE,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,49,-,N,N
ENGG 299.5,RESID,RESIDENCY,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
ENGG 299.6,SUB-A,FINAL PAPER SUBMISSION,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
ENGG 299.7,SUB-B,FINAL PAPER SUBMISSION,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
